ATSG,$9.76,1439682907866,88,070
AIRT,$23.2,1439682907877,250
AMCN,$4.82,1439682907898,151,232
AIXG,$5.94,1439682907944,8,324
AKAM,$73.37,1439682907987,773,832
AKBA,$7.1,1439682908054,263,383
AKER,$3.89,1439682908241,9,034
ALRM,$16.91,1439682908324,68,575
AKRX,$42.92,1439682908355,267,001
AMRI,$20.55,1439682908372,197,494
ALSK,$2.08,1439682908533,97,807
ABDC,$12.93,1439682908550,35,070
ADHD,$8.71,1439682908591,222,034
ALDX,$8.04,1439682908681,21,110
ALDR,$36.83,1439682908701,390,608
ALXA,$1.14,1439682908752,26,913
ALXN,$185.41,1439682908863,547,448
ALCO,$43.45,1439682908886,31,219
ALIM,$3.89,1439682909012,99,554
ALKS,$65.81,1439682909076,824,990
ALGN,$60.57,1439682909098,200,157
ALGT,$232.87,1439682909112,82,221
ALLB,$23.73,1439682909265,13,869
AFOP,$18.88,1439682909291,59,913
AHGP,$35.97,1439682909416,35,741
ARLP,$24.81,1439682909439,237,016
AIQ,$15.22,1439682909450,11,364
AHPI,$1.45,1439682909492,840
AMOT,$18.36,1439682909567,47,491
ALQA,$4.71,1439682909577,14,930
ALLT,$5.12,1439682909641,58,210
MDRX,$14.2339,1439682909714,2,021,647
ALNY,$105.74,1439682909896,277,534
AFAM,$48.29,1439682909914,41,050
AOSL,$7.51,1439682910037,50,258
ATEC,$0.69,1439682910095,172,754
ALTR,$49.03,1439682910105,1,221,987
ASPS,$29.91,1439682910194,79,204
AMRN,$2.34,1439682910273,507,489
AMRK,$10.59,1439682910462,3,382
AYA,$23.16,1439682910480,29,252
AMBC,$16.8,1439682910593,162,638
AMBCW,$8.26,1439682910823,2,275
AMBA,$108.62,1439682911134,850,438
DOX,$60.03,1439682911555,461,039
AMCX,$74.87,1439682911649,298,626
AMDA,$0.51,1439682911896,1,545,260
AMED,$45.38,1439682912049,117,758
ASBI,$22.88,1439682912319,851
AMOV,$18.68,1439682912446,2,426
AAL,$42.94,1439682912635,2,788,427
UHAL,$384.51,1439682912967,18,282
AGNC,$19.95,1439682913197,1,320,962
AGNCB,$24.2,1439682913507,4,281
AGNCP,$25.28,1439682913607,2,679
ACSF,$12.8,1439682913936,27,575
ACAS,$14.23,1439682914007,595,829
AETI,$4.05,1439682914444,1,241
EPAX,$2.41,1439682914805,319,443
AMIC,$10.26,1439682915281,3
AMNB,$23.23,1439682915871,8,672
ANAT,$104.931,1439682916223,15,994
AMZN,$531.8,1439682918519,1,034,705
AMAG,$62.95,1439682919136,322,216
ATAX,$5.35,1439682920122,56,831
AIMC,$26.47,1439682921670,138,888
AMSWA,$9.31,1439682922315,28,210
APEI,$22.03,1439682923167,36,788
MTGE,$15.82,1439682923506,166,745
CRMT,$46.35,1439682924010,13,664
ANCI,$1.69,1439682924794,1,232
ARII,$40.52,1439682925234,156,983
ASRV,$3.3,1439682925289,2,858
AMSF,$50.37,1439682930224,30,540
ASEI,$39.89,1439682930346,32,018
AMGN,$167.72,1439682930776,1,715,864
AMKR,$4.45,1439682931229,785,910
AMPH,$14.64,1439682931833,158,759
ABCB,$28.058,1439682931902,122,269
AMRB,$10.1,1439682932147,5,564
AFSI,$62.9255,1439682932793,254,270
ATLO,$23.46,1439682933009,3,702
AMRS,$1.68,1439682933174,87,693
ANAD,$0.3061,1439682933599,553,257
AMWD,$65.3878,1439682933623,87,312
ADI,$58.84,1439682934127,871,498
AMSC,$4.11,1439682934703,25,769
ALOG,$78.8,1439682934713,69,157
ANCB,$22.95,1439682935034,830
FOLD,$15.97,1439682935304,824,112
ANGI,$4.4,1439682935422,217,296
AMCF,$0.3,1439682935890,36,055
ANIK,$35.96,1439682936342,57,914
ANTH,$9.22,1439682939155,581,423
ABAC,$0.92,1439682939535,4,540
ANGO,$14.88,1439682939706,59,404
ABCW,$41.532,1439682940401,13,741
ASYS,$5.83,1439682940713,54,662
APOG,$54.27,1439682941484,230,022
APOL,$11.77,1439682942151,591,187
AINV,$6.7571,1439682942764,1,466,887
APPF,$16.75,1439682943331,25,821
ANAC,$136.22,1439682943637,395,676
ATRS,$1.89,1439682943869,387,131
AAPL,$116.14,1439682943974,24,640,968
AMSG,$84.8,1439682944175,199,521
APDNW,$1.29,1439682944620,2,500
ATNY,$2.41,1439682947044,1,519
ANIP,$54.76,1439682947723,152,414
AMCC,$5.85,1439682948318,944,701
APIC,$8.14,1439682948630,120,354
AAOI,$22.11,1439682948712,229,080
AREX,$2.69,1439682949075,237,180
AQMS,$5.44,1439682949582,36,756
APRI,$1.19,1439682949913,45,007
AUMA,$9.75,1439682950353,1,486
AGTC,$15.64,1439682950468,42,383
ARCI,$1.36,1439682950604,543
APTO,$5.26,1439682951050,1,382
ARDM,$7.49,1439682951067,164
APDN,$3.37,1439682951081,80,801
AMAT,$16.64,1439682951119,24,370,499
ANSS,$94.26,1439682951197,265,800
AQXP,$22.25,1439682951357,2,857,817
ABUS,$8.4978,1439682951561,297,770
AUMAW,$0.27,1439682951571,9,600
ABIO,$0.92,1439682951684,222,980
PETX,$16.98,1439682951703,171,169
ARCW,$3.74,1439682951957,6,686
ARNA,$3.397,1439682952675,1,055,655
ACGL,$73.4547,1439682952728,200,784
ACAT,$30,1439682952749,78,303
ARCB,$32.61,1439682952804,134,416
RKDA,$4.69,1439682952821,10,701
ARCC,$16.14,1439682952840,687,294
ARDX,$18.91,1439682952895,59,867
AGII,$57.86,1439682953044,79,188
ARGS,$4.21,1439682953062,14,978
ARIS,$3.32,1439682953207,300
AGIIL,$25.37,1439682953284,3,309
ARIA,$7.27,1439682953294,1,332,183
ARKR,$25.4,1439682953320,116
ARMH,$42.47,1439682953330,10,028,759
ARTX,$1.57,1439682953434,104,073
ARWAU,$10.11,1439682953862,1,334
ARRS,$27.5836,1439682953889,439,421
DWAT,$10.4642,1439682953899,1,950
AROW,$27.56,1439682953920,9,694
ARQL,$1.69,1439682953974,44,695
ARWR,$5.52,1439682953984,981,689
ARRY,$5.7,1439682954257,635,862
ARTW,$4.5,1439682954280,2,770
ASND,$17.02,1439682954290,67,219
ASBB,$24.82,1439682954310,232
ASCMA,$29.02,1439682954329,105,505
ARTNA,$22.38,1439682954489,13,665
ASNA,$12.36,1439682954573,725,469
ASTI,$0.22,1439682955089,731,544
ASMI,$38.99,1439682955335,1,156
APWC,$2.0912,1439682955437,1,000
ASML,$92.69,1439682956082,1,154,458
ASFI,$9.14,1439682956148,11,702
ASMB,$13.28,1439682956163,51,498
ALOT,$13.89,1439682956244,1,069
ASTE,$38.59,1439682956278,65,215
AZPN,$37.65,1439682956359,2,950,503
ATAI,$3.19,1439682956369,8,015
ATRO,$60.31,1439682956386,151,389
ASUR,$6.07,1439682956421,5,246
ATHN,$138.1303,1439682956589,123,936
ATHX,$1.19,1439682956721,84,041
AFCB,$28,1439682956776,518
ASTC,$2.39,1439682956845,9,367
AAPC,$10.17,1439682956949,21
ATRA,$47.18,1439682956993,101,591
ACFC,$6.1,1439682957010,67,949
ATLC,$3.98,1439682957066,1,571
AAWW,$45.06,1439682957202,109,644
AAME,$3.59,1439682957220,4,202
AFH,$17,1439682957237,26,478
ATNI,$74.13,1439682957383,33,722
ATOS,$0.98,1439682957419,56,888
ATRC,$26.46,1439682957440,83,571
ATRI,$407,1439682957471,1,781
ATRM,$3.07,1439682957625,908
ATML,$7.81,1439682957681,2,155,297
AUBN,$27.14,1439682957804,130
ATTU,$14.58,1439682957844,48,192
LIFE,$14.33,1439682957996,25,342
AUDC,$3.18,1439682958014,91,957
ADAT,$0.1051,1439682958144,43,263
EARS,$5.04,1439682958164,6,000
AUPH,$3.42,1439682958178,11,765
ADSK,$54.86,1439682958214,665,236
ADP,$82.8833,1439682958261,1,297,619
AAVL,$10.03,1439682958436,3,871,799
AVNU,$13.1,1439682958554,284
AVEO,$1.17,1439682958678,377,529
ABTL,$19.79,1439682958779,170,648
AVID,$9.15,1439682958865,308,546
AVNW,$1.14,1439682958883,63,992
AVGO,$122.2,1439682958976,1,569,400
CAR,$44.07,1439682959029,1,131,755
ACLS,$3.21,1439682959265,292,850
AWRE,$3.23,1439682959304,8,828
AXPW,$1.19,1439682959314,138,494
BCOM,$19.49,1439682959383,456
AXGN,$3.78,1439682959437,11,354
AXTI,$2.21,1439682959451,24,702
AVGR,$15.46,1439682959474,32,693
RILY,$10,1439682959767,2,210
BOSC,$2.24,1439682959936,4,700
BEAV,$51.17,1439682959946,283,649
BCPC,$60.4,1439682960036,113,481
BWINA,$23.35,1439682960054,300
BIDU,$164.65,1439682960140,2,586,841
BKMU,$7.35,1439682960178,42,685
BWINB,$23.34,1439682960300,5,299
BLDP,$1.34,1439682960314,164,191
BANF,$62.967,1439682960334,9,943
BMRC,$48.09,1439682960454,12,032
BOCH,$5.8,1439682960469,7,263
BKSC,$15.97,1439682960487,2,380
OZRK,$43.87,1439682960709,189,645
BOTJ,$11.18,1439682960758,1,114
BFIN,$12.3,1439682960922,13,153
BWFG,$18.28,1439682960939,526
BANR,$47.94,1439682960980,34,342
BZUN,$7.73,1439682961137,69,178
TAPR,$31.71,1439682961156,1,155
BHACW,$0.1301,1439682961334,223
BBSI,$37.64,1439682961348,41,946
BYBK,$5.11,1439682961420,5,086
BSET,$31.45,1439682961430,35,614
BYLK,$12.94,1439682961455,1,864
BV,$5.38,1439682961642,155,355
BBCN,$15.55,1439682961826,167,531
BDCV,$5.03,1439682962013,688
BECN,$36.2544,1439682962036,195,135
BSF,$9.11,1439682962045,13,169
BCBP,$11.71,1439682962195,3,158
BBGI,$4.94,1439682962216,544
BBBY,$63.18,1439682962226,1,178,399
BELFA,$17.18,1439682962237,18
BEBE,$1.85,1439682962261,90,320
BLPH,$4.06,1439682962448,30,581
BELFB,$20.13,1439682962465,31,899
BLCM,$18.48,1439682962585,194,850
BNCL,$12.87,1439682962648,173,559
BNFT,$38.23,1439682962666,290,873
BGMD,$0.8211,1439682962831,323,491
BGCP,$9.59,1439682962868,448,030
BGFV,$11.09,1439682962915,44,403
BIND,$4.43,1439682962932,24,590
ORPN,$5.45,1439682963002,13,788
BASI,$1.79,1439682963094,3,070
BIOC,$1.85,1439682963108,194,442
BIOD,$0.7316,1439682963175,685,384
BCRX,$11.68,1439682963321,517,381
BDSI,$6.6,1439682963369,832,542
BIIB,$311,1439682963424,1,139,650
BIOL,$1.62,1439682963610,13,674
BLFS,$2.16,1439682963683,266,859
BMRN,$134.51,1439682963759,440,002
BLRX,$1.51,1439682963773,57,510
BRLI,$35.45,1439682963791,176,022
BPTH,$1.18,1439682963882,50,108
BVXV,$4.25,1439682963923,2,802
BBC,$32.17,1439682964037,13,726
BIOS,$1.35,1439682964141,2,048,445
BSTC,$51.19,1439682964161,57,413
BBP,$33.75,1439682964210,25,634
BSPM,$0.68,1439682964230,51,823
BEAT,$11.62,1439682964405,77,838
BOTA,$2.33,1439682964425,16,624
TECH,$105.65,1439682964473,57,393
BITI,$19.31,1439682964556,49,440
BDMS,$13.2,1439682964593,6
BBOX,$15.86,1439682964634,63,754
BJRI,$46.18,1439682964648,155,592
BDE,$7.43,1439682964730,150,675
BLKB,$62.98,1439682964771,108,814
HAWK,$43.5,1439682964915,241,541
BKCC,$9.51,1439682964976,235,395
BBRY,$7.6,1439682965026,1,853,462
ADRE,$31.45,1439682965045,17,219
ADRA,$28.75,1439682965068,3,946
ADRD,$23.44,1439682965078,402
ADRU,$23.2666,1439682965194,934
BLBD,$12.93,1439682965302,3,084
BCOR,$13.83,1439682965340,105,205
BLMN,$21.66,1439682965359,654,740
NILE,$34.68,1439682965508,70,839
BUFF,$26.87,1439682965523,821,531
BBLU,$0.9223,1439682965541,105,042
BHBK,$14.5,1439682965568,28,477
BKEPP,$7.89,1439682965703,27
BLUE,$127.26,1439682965717,483,144
BPMC,$26.55,1439682965783,75,584
BNCN,$21.89,1439682965845,88,290
BKEP,$6.78,1439682965952,25,111
BOBE,$46.61,1439682966014,55,212
BOFI,$128.5,1439682966041,140,173
BOJA,$20.84,1439682966051,349,611
WIFI,$9.07,1439682966068,209,485
BOKF,$66.3333,1439682966168,37,770
BONA,$11.85,1439682966213,57,249
BNSO,$1.72,1439682966248,81,525
BPFH,$12.46,1439682966391,160,742
BAMM,$3.22,1439682966414,9,700
BPFHP,$25.58,1439682966445,1,527
BDBD,$8.99,1439682966565,313,922
EPAY,$26.1,1439682966583,94,035
BCLI,$2.88,1439682966682,86,912
BBRG,$12.89,1439682966700,82,949
BBEP,$2.8015,1439682966732,1,250,490
BDGE,$28.06,1439682966805,39,505
BBEPP,$14.39,1439682966822,49,326
BRID,$8.14,1439682966938,888
BCOV,$5.53,1439682967068,65,235
BRCM,$50.5,1439682967078,1,594,297
BSFT,$34.34,1439682967137,62,708
BVSN,$6.02,1439682967211,16,148
BYFC,$1.37,1439682967319,576
BWEN,$3.56,1439682967369,29,481
BRCD,$10.1084,1439682967384,1,356,271
BRKL,$10.8,1439682967416,155,821
BRKR,$20.14,1439682967449,259,738
BRKS,$11.06,1439682967509,141,610
BMTC,$29.83,1439682967677,50,947
BLMT,$21.22,1439682967747,5,561
BSQR,$7.28,1439682967786,739,972
BWLD,$195.84,1439682967907,161,440
BLDR,$14.2717,1439682967990,535,234
CA,$29.339,1439682968108,1,039,559
CFFI,$36.65,1439682968188,5,286
CDNS,$21.3859,1439682968202,1,028,237
BUR,$2.02,1439682968224,1,200
CHRW,$69.4,1439682968234,431,828
CCMP,$45.71,1439682968271,93,512
CACQ,$7.18,1439682968303,37,061
CDZI,$7.42,1439682968327,50,224
CZR,$7.36,1439682968452,472,177
PRSS,$4.8,1439682968619,23,855
CSTE,$50.1161,1439682968629,463,560
CLBS,$1.4,1439682968649,196,556
CCD,$20.6,1439682968870,57,503
CHY,$11.91,1439682968906,179,045
CHI,$11.13,1439682968920,197,498
CLMS,$11.78,1439682968960,71,313
CHW,$8.12,1439682969034,136,951
CGO,$12.79,1439682969052,20,918
CSQ,$10.56,1439682969070,251,640
CFNB,$13.47,1439682969270,24
CVGW,$53,1439682969279,95,587
CAMP,$16.59,1439682969290,205,986
CALA,$5.33,1439682969316,317,892
CALD,$16.56,1439682969453,145,443
CALM,$52,1439682969671,480,182
ABCD,$4.45,1439682969688,60,248
CAC,$40.42,1439682969850,6,646
CLMT,$26.37,1439682969886,233,743
CAMT,$2.83,1439682970081,9,466
CPHC,$10.7,1439682970101,2,295
CSIQ,$24.71,1439682970124,990,174
CGIX,$11.09,1439682970135,25,176
CBNJ,$10.87,1439682970182,10,059
CPLA,$49.93,1439682970280,58,767
CBF,$30.2,1439682970299,33,918
CCBG,$15.19,1439682970422,8,373
CPTA,$15.25,1439682970492,51,575
CSWC,$49.86,1439682970503,9,545
CFFN,$12.19,1439682970543,193,120
CPLP,$7.22,1439682970581,319,847
CAPN,$3.05,1439682970634,898,859
CAPNW,$0.7799,1439682970695,215
CAPR,$4.12,1439682970750,35,784
CARA,$21.91,1439682970803,133,308
CPST,$0.4018,1439682970819,717,302
CARB,$11.66,1439682970919,42,578
CRDC,$0.4,1439682970994,29,190
CBYL,$6.28,1439682971013,38,646
CRME,$9.77,1439682971115,64,964
CFNL,$23.528,1439682971131,59,766
CSII,$24.2,1439682971209,177,670
CATM,$35.33,1439682971226,104,211
CDNA,$6.31,1439682971301,15,675
CECO,$3.99,1439682971388,301,907
CTRE,$11.2122,1439682971430,361,640
CARO,$16.09,1439682971509,8,504
CKEC,$23.95,1439682971526,83,395
CLBH,$12.8,1439682971571,1,040
CART,$5.46,1439682971589,1,338
CRZO,$35.06,1439682971711,527,432
TAST,$12.93,1439682971739,101,527
CRTN,$2.89,1439682971818,19,546
CASM,$1.12,1439682971954,32,906
CSCD,$14,1439682972002,19,817
CACB,$5.55,1439682972018,62,322
CARV,$5.86,1439682972028,212
CASY,$106.61,1439682972082,186,358
CWST,$6.27,1439682972099,153,542
CASS,$51.35,1439682972281,10,885
CASI,$1.53,1439682972340,8,742
CATB,$11.99,1439682972357,18,867
CVCO,$73.4488,1439682972493,24,994
CPRX,$4.11,1439682972518,242,775
CATY,$32.18,1439682972528,169,694
CAVM,$71.64,1439682972648,319,178
CBFV,$20.05,1439682972667,5,187
CDK,$50.99,1439682973043,409,820
CDW,$39.18,1439682973129,1,048,758
CPXX,$2.25,1439682973172,67,115
CBOE,$64.4229,1439682973223,209,983
CELG,$129.24,1439682973251,2,096,121
CECE,$10.1,1439682973275,98,965
CLDN,$1.05,1439682973374,110,063
CELGZ,$1.98,1439682973397,24,800
CLDX,$16.34,1439682973541,2,315,311
CLRB,$3.12,1439682973614,2,069
CLRBW,$0.85,1439682973656,4,282
CBMG,$23.77,1439682973752,16,338
CLTX,$0.58,1439682973800,27,378
CLLS,$32.67,1439682973865,64,503
CEMP,$37.26,1439682973933,275,470
CLSN,$2.19,1439682973993,34,865
CSFL,$14.17,1439682974026,70,836
CYAD,$55,1439682974045,802
CETV,$2.29,1439682974102,73,683
CETX,$2.7,1439682974129,126,599
CFBK,$1.32,1439682974158,7,802
CENT,$11.21,1439682974196,16,568
CENTA,$11.95,1439682974410,56,021
CVCY,$11.13,1439682974495,200
CNTY,$6.35,1439682974540,7,045
CENX,$6.07,1439682974579,1,106,936
CNBKA,$41.61,1439682974627,2,429
CPHD,$49.05,1439682974667,966,386
CERN,$64.253,1439682974736,2,095,458
CERE,$1.75,1439682974760,272,756
CRNT,$1.4,1439682974774,268,791
CERS,$4.76,1439682974909,382,454
CEVA,$19.26,1439682974925,81,703
CERU,$3.5,1439682974977,42,059
KOOL,$0.675,1439682974995,13,513
HOTR,$1.62,1439682975060,194,026
CYOU,$20.2964,1439682975080,76,909
GTLS,$24.72,1439682975371,308,120
CHTR,$180,1439682975396,514,138
CTHR,$1.23,1439682975426,32,192
CHFN,$12.62,1439682975446,35,586
CHKP,$80.8,1439682975563,533,556
CHEK,$3.33,1439682975577,2,931
CEMI,$4.74,1439682975608,3,616
CHFC,$32.92,1439682975720,29,124
CHMG,$26.65,1439682975769,17
CHKE,$27.96,1439682975787,14,705
CHEV,$14.8,1439682975859,883
CCXI,$6.53,1439682975880,75,187
CBNK,$16.82,1439682976092,138
PLCE,$59.59,1439682976181,156,707
CHMA,$28.7,1439682976198,281,053
CALI,$1.02,1439682976262,5,147
CAAS,$6.73,1439682976327,32,872
CMRX,$49.98,1439682976341,186,569
CBAK,$2.48,1439682976473,5,531
CBPO,$109.63,1439682976522,137,138
CCCL,$0.93,1439682976606,2,179
CHOP,$1.3,1439682976670,1,815
HGSH,$1.93,1439682976838,8,547
JRJC,$4.44,1439682976853,15,373
CNIT,$1.82,1439682977057,81,629
HTHT,$24.6555,1439682977075,77,339
CHNR,$2.0101,1439682977102,110
CHLN,$1.39,1439682977126,6,811
CREG,$0.77,1439682977148,22,815
CJJD,$2.25,1439682977162,29,683
CPGI,$6.99,1439682977286,1,372
CSUN,$1.54,1439682977342,16,327
CXDC,$6.25,1439682977452,21,845
CCIH,$9.79,1439682977484,32,972
CNET,$0.824,1439682977549,12,696
IMOS,$15.8765,1439682977801,87,325
CHSCL,$27.15,1439682977819,17,402
CHSCM,$26.36,1439682977833,14,485
CHSCP,$30.63,1439682977947,1,730
CNYD,$3.41,1439682977964,401
CHSCO,$28.5,1439682977979,2,713
CNTF,$0.95,1439682977997,26,649
CHSCN,$27.5,1439682978053,2,252
CHUY,$32.95,1439682978178,149,930
CHDN,$135.81,1439682978260,23,011
CDTX,$14.5,1439682978278,18,948
CMCT,$15.6,1439682978322,927
CIFC,$7.35,1439682978360,2,606
CMPR,$70.48,1439682978409,173,078
CINF,$56.6513,1439682978514,274,162
CPHR,$7.5,1439682978669,20,308
CIDM,$0.7,1439682978712,143,667
CSCO,$29.05,1439682978732,19,482,765
CTAS,$88.49,1439682978752,219,344
CZNC,$20.34,1439682978890,40,689
CTRN,$22.76,1439682978904,32,987
CZWI,$9.17,1439682978945,535
CRUS,$29.35,1439682979064,680,690
CTXS,$77.55,1439682979074,816,989
CIZN,$19.6,1439682979090,18
CHCO,$48.29,1439682979129,23,230
CIVB,$10.29,1439682979237,845
CDTI,$1.61,1439682979419,47,350
CLNT,$1.97,1439682979469,32,118
CLNE,$4.94,1439682979556,579,431
CBLI,$3.57,1439682979653,62,396
CLFD,$18.18,1439682979677,21,757
CLIR,$5.3,1439682979692,58,399
CLRO,$11.9,1439682979754,9,018
CLVS,$77.07,1439682979771,186,536
CSBK,$14.03,1439682979864,66,895
CMFN,$11.225,1439682979878,10,095
CME,$98.1796,1439682979969,686,578
CCNE,$17.36,1439682980014,11,405
CNV,$4.92,1439682980048,31,030
CISG,$8.5,1439682980126,30,224
CWAY,$11.5,1439682980208,1,402
COBZ,$12.82,1439682980406,46,622
COKE,$162.85,1439682980425,21,305
CVLY,$20.68,1439682980443,1,001
CDXS,$3.69,1439682980474,542,941
CCOI,$29.16,1439682980492,323,506
CDRB,$13.06,1439682980533,16,884
CGNT,$1.57,1439682980547,31,943
JVA,$4.77,1439682980714,2,178
CGNX,$36.99,1439682980764,235,019
COHR,$58.79,1439682980778,46,930
CTSH,$67.17,1439682980820,1,997,748
COHU,$9.52,1439682980873,54,839
CHRS,$34.14,1439682980887,150,579
CLRX,$0.48,1439682981132,30,833
CBAN,$9.18,1439682981171,696
CIGI,$47.34,1439682981193,12,840
CLCD,$8.07,1439682981203,25,111
CLCT,$19.76,1439682981230,12,796
COLL,$16.76,1439682981248,26,390
COLM,$65.52,1439682981323,73,336
CMCO,$22.05,1439682981493,41,805
CBMX,$1.32,1439682981519,9,080
CMCSA,$58.99,1439682981600,9,046,286
CBSH,$47.5595,1439682981618,94,480
COLB,$33.06,1439682981638,244,214
CMCSK,$59.4284,1439682981658,2,116,219
CBSHP,$25.44,1439682981840,12,520
CVGI,$4.96,1439682981957,77,971
CUBN,$13.84,1439682981975,8,599
JCS,$9.8,1439682982011,3,640
COMM,$31.6,1439682982055,387,513
ESXB,$5.12,1439682982159,20,106
CYHHZ,$0.012,1439682982185,396,294
CSAL,$23.0646,1439682982296,482,140
CWBC,$6.76,1439682982370,2,326
CTBI,$35.13,1439682982380,36,097
COB,$10.9,1439682982409,31,489
CVLT,$37.51,1439682982419,155,345
CIZ,$35.22,1439682982607,3,483
CDC,$36.72,1439682982805,9,346
CFA,$37.4308,1439682982852,625
CSF,$38.404,1439682982892,3,987
CFO,$37.55,1439682982949,14,685
CDL,$35.5,1439682983061,1,200
CGEN,$5.78,1439682983176,67,614
CTG,$6.54,1439682983228,14,602
CMTL,$28.25,1439682983305,21,410
CPSI,$46.19,1439682983323,59,316
CHCI,$0.5499,1439682983365,6,412
CNSI,$19.31,1439682983494,38,416
SCOR,$63.99,1439682983568,147,311
CNAT,$4.02,1439682983585,94,837
CNCE,$16.51,1439682983594,261,188
CXRX,$76.81,1439682983653,3,328
CCUR,$5.16,1439682983756,11,624
CDOR,$1.47,1439682983801,4,104
CDORO,$19.55,1439682983943,955
CDORP,$7.48,1439682983957,4,900
CNFR,$10.5,1439682983989,73,332
CFMS,$22.03,1439682984013,107,758
CNMD,$56.07,1439682984023,75,211
CTWS,$35.15,1439682984127,16,970
CNOB,$20.29,1439682984338,21,914
CNSL,$20.6,1439682984360,103,551
CONN,$35.36,1439682984378,224,161
CNXR,$7.1,1439682984407,15,900
CTCT,$24.67,1439682984417,171,330
CWCO,$11.97,1439682984437,45,051
CPSS,$5.5839,1439682984453,41,993
CFRXZ,$0.388,1439682984745,5,198
CFRX,$4.54,1439682984817,34,379
CTRL,$8.59,1439682984833,83,173
CTRV,$4.4,1439682984878,9,138
CRBP,$1.85,1439682984966,51,601
CORT,$5.29,1439682985000,117,705
CPRT,$36.38,1439682985075,123,592
CORI,$11.57,1439682985174,305,165
CRVL,$33,1439682985206,11,047
CORE,$64.92,1439682985228,83,301
BVA,$3.87,1439682985238,2,924
COSI,$1.32,1439682985328,146,237
CSGP,$195.58,1439682985358,58,789
CSOD,$38.79,1439682985368,215,145
COST,$146.09,1439682985524,812,356
CPAH,$0.45,1439682985635,3,990
ICBK,$18.8,1439682985741,5
CRAI,$23.07,1439682985755,17,184
CVTI,$25.72,1439682985776,86,095
CPSH,$2.42,1439682985813,1,072
COWN,$5.69,1439682985831,810,359
COVS,$3,1439682985898,81,990
COWNL,$27.35,1439682985912,1,700
BREW,$8.29,1439682986076,29,057
CBRL,$151.13,1439682986110,193,977
CRAY,$23.42,1439682986132,101,120
GLDI,$10.94,1439682986148,1,486
SLVO,$10.52,1439682986316,2,025
